iter	Passed	Remaining
0	162	162571
1	163	81702
2	164	54781
3	165	41226
4	166	33079
5	166	27630
6	167	23760
7	168	20852
8	169	18612
9	169	16796
10	170	15321
11	171	14087
12	171	13047
13	172	12144
14	173	11363
15	173	10678
16	174	10073
17	174	9535
18	175	9053
19	175	8621
20	176	8228
21	177	7873
22	177	7553
23	178	7260
24	179	6988
25	179	6738
26	180	6502
27	180	6282
28	181	6079
29	182	5893
30	182	5718
31	183	5555
32	184	5401
33	184	5252
34	185	5118
35	186	4987
36	186	4863
37	187	4747
38	188	4634
39	188	4530
40	189	4428
41	189	4332
42	190	4240
43	191	4151
44	191	4067
45	192	3986
46	192	3908
47	193	3833
48	193	3763
49	194	3696
50	195	3632
51	195	3570
52	196	3513
53	197	3454
54	197	3397
55	198	3344
56	198	3292
57	199	3244
58	200	3195
59	200	3147
60	201	3100
61	202	3058
62	202	3016
63	203	2975
64	203	2934
65	204	2894
66	205	2858
67	205	2817
68	206	2781
69	206	2747
70	207	2713
71	208	2681
72	208	2648
73	209	2617
74	209	2587
75	210	2557
76	210	2528
77	211	2500
78	212	2474
79	212	2447
80	213	2420
81	214	2397
82	214	2373
83	215	2349
84	215	2323
85	216	2301
86	216	2276
87	217	2256
88	218	2235
89	219	2214
90	219	2194
91	220	2175
92	221	2155
93	221	2137
94	222	2117
95	222	2099
96	223	2080
97	224	2063
98	224	2045
99	225	2028
100	226	2012
101	226	1993
102	226	1976
103	227	1961
104	228	1945
105	228	1930
106	229	1915
107	230	1900
108	230	1887
109	231	1872
110	232	1858
111	232	1846
112	233	1832
113	234	1820
114	234	1806
115	235	1793
116	235	1780
117	236	1768
118	236	1754
119	237	1742
120	238	1730
121	238	1719
122	239	1705
123	239	1693
124	240	1681
125	240	1671
126	241	1660
127	242	1648
128	242	1638
129	243	1628
130	243	1617
131	244	1607
132	245	1597
133	245	1587
134	246	1578
135	246	1568
136	247	1559
137	248	1549
138	248	1540
139	249	1531
140	249	1522
141	250	1513
142	251	1504
143	251	1495
144	252	1487
145	252	1479
146	253	1470
147	254	1462
148	254	1454
149	255	1446
150	256	1440
151	256	1432
152	257	1425
153	258	1417
154	258	1409
155	259	1402
156	259	1394
157	260	1388
158	261	1381
159	261	1374
160	262	1367
161	263	1361
162	263	1354
163	264	1347
164	265	1341
165	265	1334
166	266	1328
167	266	1321
168	267	1315
169	268	1308
170	268	1302
171	269	1296
172	269	1290
173	270	1284
174	271	1278
175	271	1272
176	272	1266
177	273	1260
178	273	1254
179	274	1249
180	274	1241
181	275	1236
182	275	1231
183	276	1226
184	277	1220
185	277	1215
186	278	1209
187	278	1204
188	279	1198
189	280	1194
190	280	1188
191	281	1183
192	281	1178
193	282	1173
194	283	1168
195	283	1163
196	284	1159
197	285	1154
198	285	1150
199	286	1145
200	287	1141
201	287	1136
202	288	1131
203	288	1126
204	289	1122
205	289	1117
206	290	1113
207	291	1108
208	291	1104
209	292	1099
210	292	1095
211	293	1090
212	293	1086
213	294	1081
214	295	1077
215	295	1073
216	296	1069
217	296	1065
218	297	1061
219	298	1056
220	298	1052
221	299	1048
222	299	1044
223	300	1040
224	301	1036
225	301	1033
226	302	1029
227	302	1025
228	303	1021
229	304	1018
230	304	1014
231	305	1010
232	305	1007
233	306	1003
234	307	999
235	307	995
236	308	992
237	308	988
238	309	985
239	310	982
240	310	978
241	311	975
242	311	971
243	312	968
244	313	964
245	313	961
246	314	957
247	314	954
248	315	951
249	316	948
250	316	945
251	317	941
252	317	938
253	318	935
254	318	931
255	319	928
256	320	925
257	320	922
258	321	919
259	322	916
260	322	913
261	323	910
262	323	907
263	324	904
264	324	901
265	325	898
266	326	896
267	327	893
268	327	890
269	328	887
270	329	885
271	329	882
272	330	879
273	330	876
274	331	873
275	332	871
276	332	868
277	333	866
278	334	863
279	334	860
280	335	858
281	336	855
282	336	852
283	337	850
284	337	847
285	338	844
286	339	842
287	339	840
288	340	837
289	341	835
290	341	833
291	342	830
292	343	828
293	343	825
294	344	823
295	344	820
296	345	818
297	346	815
298	347	813
299	347	811
300	348	809
301	349	806
302	349	804
303	350	802
304	351	800
305	351	798
306	352	796
307	353	794
308	354	792
309	354	789
310	355	787
311	356	785
312	356	782
313	357	780
314	357	778
315	358	776
316	359	774
317	360	772
318	360	770
319	361	767
320	362	765
321	362	763
322	363	761
323	364	759
324	364	757
325	365	755
326	366	753
327	366	751
328	367	749
329	367	746
330	368	744
331	369	742
332	369	740
333	370	739
334	371	737
335	372	735
336	373	734
337	373	732
338	374	730
339	375	728
340	376	726
341	376	725
342	377	723
343	378	721
344	378	719
345	379	717
346	380	715
347	380	713
348	381	711
349	381	709
350	382	707
351	383	705
352	384	703
353	384	701
354	385	700
355	385	698
356	386	696
357	387	694
358	387	692
359	388	690
360	388	688
361	389	686
362	390	684
363	390	682
364	391	680
365	391	678
366	392	677
367	393	675
368	393	673
369	394	671
370	395	669
371	395	667
372	396	666
373	396	664
374	397	662
375	398	660
376	398	659
377	399	657
378	400	655
379	400	654
380	401	652
381	402	650
382	403	649
383	403	647
384	404	646
385	405	644
386	405	642
387	406	641
388	407	639
389	407	637
390	408	636
391	409	634
392	409	632
393	410	631
394	411	629
395	411	627
396	412	626
397	412	624
398	413	622
399	414	621
400	414	619
401	415	618
402	416	616
403	416	614
404	417	613
405	417	611
406	418	609
407	419	608
408	419	606
409	420	604
410	421	603
411	421	601
412	422	600
413	423	599
414	423	597
415	424	595
416	425	594
417	425	592
418	426	591
419	427	589
420	427	588
421	428	586
422	429	585
423	429	583
424	430	582
425	431	580
426	431	579
427	432	578
428	433	576
429	433	574
430	434	573
431	435	572
432	435	570
433	436	568
434	437	567
435	437	566
436	438	564
437	439	563
438	439	561
439	440	560
440	441	559
441	441	557
442	442	555
443	442	554
444	443	553
445	444	551
446	444	550
447	445	548
448	446	547
449	446	545
450	447	544
451	447	543
452	448	541
453	449	540
454	449	538
455	450	537
456	450	535
457	451	534
458	452	532
459	452	531
460	453	530
461	454	528
462	454	527
463	455	525
464	455	524
465	456	523
466	457	521
467	457	520
468	458	518
469	458	517
470	459	516
471	460	514
472	460	513
473	461	511
474	461	510
475	462	509
476	462	507
477	463	506
478	464	505
479	464	503
480	465	502
481	466	500
482	466	499
483	467	498
484	468	497
485	468	496
486	469	494
487	470	493
488	470	492
489	471	490
490	472	489
491	472	488
492	473	486
493	473	485
494	474	484
495	475	483
496	475	481
497	476	480
498	477	479
499	477	477
500	478	476
501	478	475
502	479	473
503	480	472
504	480	471
505	481	469
506	482	468
507	482	467
508	483	466
509	484	465
510	485	464
511	485	462
512	486	461
513	487	460
514	487	459
515	488	458
516	489	456
517	489	455
518	490	454
519	490	453
520	491	451
521	492	450
522	492	449
523	493	448
524	494	447
525	494	445
526	495	444
527	495	443
528	496	442
529	497	441
530	497	439
531	498	438
532	499	437
533	499	436
534	500	434
535	500	433
536	501	432
537	502	431
538	502	429
539	503	428
540	503	427
541	504	426
542	505	425
543	505	423
544	506	422
545	506	421
546	507	420
547	508	419
548	508	417
549	509	416
550	510	415
551	511	414
552	512	413
553	512	412
554	513	411
555	514	410
556	514	409
557	515	408
558	516	407
559	516	406
560	517	404
561	518	403
562	518	402
563	519	401
564	520	400
565	520	399
566	521	398
567	522	397
568	522	396
569	523	395
570	524	393
571	525	392
572	525	391
573	526	390
574	526	389
575	527	388
576	528	387
577	529	386
578	529	385
579	530	384
580	531	383
581	532	382
582	532	381
583	533	380
584	534	379
585	535	377
586	535	376
587	536	375
588	537	374
589	537	373
590	538	372
591	539	371
592	540	370
593	541	369
594	541	368
595	542	367
596	543	366
597	544	365
598	545	365
599	546	364
600	546	363
601	547	362
602	548	360
603	548	359
604	549	358
605	550	357
606	550	356
607	551	355
608	552	354
609	552	353
610	553	352
611	553	351
612	554	350
613	555	349
614	555	347
615	556	346
616	557	345
617	557	344
618	558	343
619	559	342
620	559	341
621	560	340
622	561	339
623	561	338
624	562	337
625	563	336
626	563	335
627	564	334
628	564	333
629	565	332
630	566	331
631	566	329
632	567	328
633	567	327
634	568	326
635	569	325
636	569	324
637	570	323
638	570	322
639	571	321
640	572	320
641	572	319
642	573	318
643	574	317
644	575	316
645	575	315
646	576	314
647	577	313
648	577	312
649	578	311
650	578	310
651	579	309
652	580	308
653	580	307
654	581	306
655	582	305
656	582	304
657	583	303
658	583	302
659	584	301
660	585	300
661	585	299
662	586	298
663	587	297
664	587	296
665	588	295
666	589	294
667	589	293
668	590	292
669	590	291
670	591	290
671	592	289
672	592	288
673	593	287
674	594	286
675	594	285
676	595	284
677	596	283
678	596	282
679	597	281
680	597	280
681	598	279
682	599	278
683	599	277
684	600	276
685	601	275
686	601	274
687	602	273
688	603	272
689	603	271
690	604	270
691	605	269
692	605	268
693	606	267
694	607	266
695	607	265
